key,code,moment,heading,description,department,email,link
claim-01,C-0001,2020/02/01 10:30,要求の提出,損傷した商品の請求,Logistic,claimant@example.com,null
claim-02,C-0002,2021/01/15 14:45,Software expense reimbursement request,Reimbursement for software-related business trips,Finance,reimbursement@example.com,https://example.com/claim-002
claim-03,C-0003,2019/05/20 09:15,ITサポートリクエスト,IT支援のリクエスト,Software,itsupport@example.com,https://example.com/claim-003
claim-04,C-0004,2013/07/10 08:00,تطبيق إجازة,تقديم طلب إجازة سنوية للموظف,HR,leave@example.com,null
claim-05,C-0005,2021/09/05 16:00,Solicitud de mantenimiento de equipos,Solicitud de mantenimiento de equipos,Hardware,mantenimiento@example.com,https://example.com/reclamo-005
claim-06,C-0006,2021/11/15 11:30,Reclamo de seguro,Reclamo de seguro,Legal,seguro@example.com,https://example.com/reclamo-006
claim-07,C-0007,2021/12/20 13:45,Reclamo de atención médica,Reclamo de atención médica,HR,cuidado@example.com,null
claim-08,C-0008,2020/01/25 10:00,Travel insurance claim,Travel insurance claim,Travel Services,travel@example.com,https://example.com/claim-008
claim-09,C-0009,2018/03/10 14:20,Product return request,Product return request,Customer Service,returns@example.com,null
claim-10,C-0010,2015/05/05 09:45,Reclamo por daños a la propiedad,Property damage claim,Customer Service,returns@example.com,https://example.com/claim-010
