key,code,registration-time,due-date,quantity,tax,link,published,key:sponsorship
invoice-01,IN-1234-1234,2022/07/29 00:00,2023/08/06 00:00,EUR 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-02,IN-1235-1235,2000/01/01 00:00,2023/08/06 00:00,EUR 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-03,IN-1236-1236,2000/01/01 00:01,2023/08/06 00:00,EUR 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-04,IN-1237-1237,2022/07/29 23:59,2023/08/06 00:00,EUR 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-05,IN-1238-1239,2022/07/30 00:00,2023/08/06 00:00,EUR 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-06,IN-1238-1248,2020/02/29 00:00,2023/08/06 00:00,EUR 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-07,IN-1238-1258,2020/02/28 23:59,2023/08/06 00:00,EUR 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-08,IN-1239-1269,2022/07/29 00:00,2022/08/29 00:00,EUR 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-09,IN-1200-1271,2022/07/29 00:00,2022/08/29 00:01,EUR 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-10,IN-1130-1180,2022/07/29 00:00,2200/12/31 23:58,EUR 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-11,IN-2234-1294,2022/07/29 00:00,2200/12/31 23:59,EUR 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-12,IN-2234-1134,2022/07/29 00:00,2024/02/28 23:59,EUR 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-13,IN-2234-1234,2022/07/29 00:00,2024/02/29 00:00,EUR 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-14,IN-1233-1333,2022/07/29 00:00,2023/08/06 00:00,EUR 0.00,0.21,https://sample.com,false,sponsorship-39
invoice-15,IN-1232-1432,2022/07/29 00:00,2023/08/06 00:00,EUR 0.01,0.21,https://sample.com,false,sponsorship-01
invoice-16,IN-1231-1531,2022/07/29 00:00,2023/08/06 00:00,EUR 1000000.00,0.21,https://sample.com,false,sponsorship-01
invoice-17,IN-1230-1630,2022/07/29 00:00,2023/08/06 00:00,EUR 999999.99,0.21,https://sample.com,false,sponsorship-01
invoice-18,IN-1229-1729,2022/07/29 00:00,2023/08/06 00:00,EUR -0.00,0.21,https://sample.com,false,sponsorship-01
invoice-19,IN-1233-1833,2022/07/29 00:00,2023/08/06 00:00,GBP 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-20,IN-1232-1932,2022/07/29 00:00,2023/08/06 00:00,USD 20000.00,0.21,https://sample.com,false,sponsorship-01
invoice-21,IN-1231-2231,2022/07/29 00:00,2023/08/06 00:00,USD 0,0.21,https://sample.com,false,sponsorship-01
invoice-22,IN-1230-3230,2022/07/29 00:00,2023/08/06 00:00,USD 20000.1,0.21,https://sample.com,false,sponsorship-01
invoice-23,IN-1229-4229,2022/07/29 00:00,2023/08/06 00:00,USD -0,0.21,https://sample.com,false,sponsorship-01
invoice-24,IN-2134-5234,2022/07/29 00:00,2023/08/06 00:00,EUR 20000.00,0.00,https://sample.com,false,sponsorship-01
invoice-25,IN-3234-6234,2022/07/29 00:00,2023/08/06 00:00,EUR 20000.00,0.01,https://sample.com,false,sponsorship-01
invoice-26,IN-4234-7234,2022/07/29 00:00,2023/08/06 00:00,EUR 20000.00,0.99,https://sample.com,false,sponsorship-01
