key,code,moment,start-date,end-date,amount,type,email,link,published,key:project,key:sponsor
sponsorship-01,ABC-124,2022/07/29 00:00,2022/08/29 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-02,ABC-125,2000/01/01 00:00,2022/08/29 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-03,ABC-126,2000/01/01 00:01,2022/08/29 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-04,ABC-127,2022/07/29 23:59,2022/08/29 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-05,ABC-128,2022/07/30 00:00,2022/08/29 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-06,ABD-128,2020/02/28 23:59,2022/08/29 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-07,ABE-128,2020/02/29 00:00,2022/08/29 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-08,ABR-129,2022/07/29 00:00,2022/07/29 00:01,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-09,ABT-120,2022/07/29 00:00,2022/07/29 00:02,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-10,ABY-113,2022/07/29 00:00,2200/11/30 23:58,2200/12/31 23:58,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-12,ABU-123,2022/07/29 00:00,2200/11/30 23:59,2200/12/31 23:59,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-13,ABI-123,2022/07/29 00:00,2024/02/28 23:59,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-14,ABO-123,2022/07/29 00:00,2024/02/29 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-15,ABP-133,2022/07/29 00:00,2022/07/29 00:01,2022/08/29 00:01,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-16,ABA-143,2022/07/29 00:00,2022/07/29 00:02,2022/08/29 00:02,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-17,ABS-443,2022/07/29 00:00,2022/08/29 00:00,2200/12/31 23:58,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-18,ABD-133,2022/07/29 00:00,2022/08/29 00:00,2200/12/31 23:59,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-19,ABH-143,2022/07/29 00:00,2022/08/29 00:00,2024/02/28 23:59,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-20,ABJ-443,2022/07/29 00:00,2022/08/29 00:00,2024/02/29 00:00,EUR 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-21,ABK-153,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR -1000000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-22,ABL-163,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR -999999.99,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-23,ABZ-173,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 999999.99,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-24,ABX-183,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 1000000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-25,ABC-193,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 0.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-26,ABB-163,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,USD 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-27,ABN-173,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,CAD 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-28,ABM-183,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,THB 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-29,AQC-193,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,BGP 20000.00,FINANCIAL,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
sponsorship-30,AWC-103,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,IN_KIND,sample@gmail.com,https://sample.com,true,project-01,sponsor-01
