key,code,start-date,end-date,location,instructor,email,link,published,key:training-module
session-01,TS-WXY-234,2000/01/01 00:00,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-18
session-02,TS-IJK-597,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-19
session-03,TS-IJK-523,2200/12/31 23:59,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-19
session-04,TS-IJK-512,2020/02/29 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-19
session-05,TS-IJK-546,2020/12/31 23:59,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-19
session-06,TS-WXY-274,2021/01/01 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-18
session-07,TS-IJK-567,2021/01/01 14:35,2000/01/01 00:00,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-19
session-08,TS-IJK-563,2020/04/04 14:35,2200/12/31 23:59,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-19
session-09,TS-IJK-582,2020/04/04 14:35,2020/02/29 00:00,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-19
session-10,TS-IJK-547,2020/04/04 14:35,2020/12/31 23:59,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-19
session-11,TS-IJK-557,2020/04/04 14:35,2021/01/01 00:00,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-19
session-12,TS-ABC-123,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-01
session-13,TS-XYZ-456,2020/04/04 14:35,2020/04/14 14:35,السلام عليكم ورحمة الله وبركاته. كيف حالكم اليوم؟,This is a test text,test@gmail.com,https://example.es,false,module-02
session-14,TS-DEF-789,2020/04/04 14:35,2020/04/14 14:35,Привет! Как дела? Надеюсь,This is a test text,test@gmail.com,https://example.es,false,module-03
session-15,TS-LMN-012,2020/04/04 14:35,2020/04/14 14:35,你好！今天天气很好 你想做些什么？,This is a test text,test@gmail.com,https://example.es,false,module-04
session-16,TS-GHI-345,2020/04/04 14:35,2020/04/14 14:35,こんにちは。今日はいい天気ですね。一緒にお出かけしませんか？,This is a test text,test@gmail.com,https://example.es,false,module-05
session-17,TS-JKL-678,2020/04/04 14:35,2020/04/14 14:35,T,This is a test text,test@gmail.com,https://example.es,false,module-06
session-18,TS-JKL-671,2020/04/04 14:35,2020/04/14 14:35,Th,This is a test text,test@gmail.com,https://example.es,false,module-06
session-19,TS-JKL-672,2020/04/04 14:35,2020/04/14 14:35,ShortStringWithoutAnyCommas1234567891,This is a test text,test@gmail.com,https://example.es,false,module-06
session-20,TS-JKL-673,2020/04/04 14:35,2020/04/14 14:35,ShortStringWithoutAnyCommas1234567891ShortStringWithoutAnyCommas1234567891,This is a test text,test@gmail.com,https://example.es,false,module-06
session-21,TS-JKL-674,2020/04/04 14:35,2020/04/14 14:35,ShortStringWithoutAnyCommas1234567891ShortStringWithoutAnyCommas12345678912,This is a test text,test@gmail.com,https://example.es,false,module-06
session-111,TS-WXY-238,2000/01/01 00:00,2020/04/14 14:35,<button onclick="showAlert()">Alert</button>,This is a test text,test@gmail.com,https://example.es,false,module-18
session-112,TS-WXY-239,2000/01/01 00:00,2020/04/14 14:35,OR 1=1,This is a test text,test@gmail.com,https://example.es,false,module-18
session-22,TS-JKL-675,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-06
session-23,TS-PQR-901,2020/04/04 14:35,2020/04/14 14:35,This is a test text,السلام عليكم ورحمة الله وبركاته. كيف حالكم اليوم؟,test@gmail.com,https://example.es,false,module-07
session-24,TS-STU-234,2020/04/04 14:35,2020/04/14 14:35,This is a test text,Привет! Как дела? Надеюсь,test@gmail.com,https://example.es,false,module-08
session-25,TS-VWX-567,2020/04/04 14:35,2020/04/14 14:35,This is a test text,你好！今天天气很好 你想做些什么？,test@gmail.com,https://example.es,false,module-09
session-26,TS-MNO-890,2020/04/04 14:35,2020/04/14 14:35,This is a test text,こんにちは。今日はいい天気ですね。一緒にお出かけしませんか？,test@gmail.com,https://example.es,false,module-10
session-27,TS-JKL-679,2020/04/04 14:35,2020/04/14 14:35,This is a test text,T,test@gmail.com,https://example.es,false,module-06
session-28,TS-JKL-615,2020/04/04 14:35,2020/04/14 14:35,This is a test text,Th,test@gmail.com,https://example.es,false,module-06
session-29,TS-JKL-676,2020/04/04 14:35,2020/04/14 14:35,This is a test text,ShortStringWithoutAnyCommas1234567891,test@gmail.com,https://example.es,false,module-06
session-30,TS-JKL-643,2020/04/04 14:35,2020/04/14 14:35,This is a test text,ShortStringWithoutAnyCommas1234567891ShortStringWithoutAnyCommas1234567891,test@gmail.com,https://example.es,false,module-06
session-31,TS-JKL-684,2020/04/04 14:35,2020/04/14 14:35,This is a test text,ShortStringWithoutAnyCommas1234567891ShortStringWithoutAnyCommas12345678912,test@gmail.com,https://example.es,false,module-06
session-114,TS-WXY-237,2000/01/01 00:00,2020/04/14 14:35,This is a test text,<button onclick="showAlert()">Alert</button>,test@gmail.com,https://example.es,false,module-18
session-117,TS-WXY-294,2000/01/01 00:00,2020/04/14 14:35,This is a test text,OR 1=1,test@gmail.com,https://example.es,false,module-18
session-32,TS-RST-123,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-11
session-33,TS-EFG-789,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,a@g.com,https://example.es,false,module-13
session-34,TS-RST-128,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,ab@gm.com,https://example.es,false,module-11
session-35,TS-EFG-729,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,thequickbrownfoxjumpsoverthelazydogloremipsumdolorsitametconsec@g.com,https://example.es,false,module-13
session-36,TS-RST-126,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,thequickbrownfoxjumpsoverthelazydogloremipsumdolorsitametconsect@gm.com,https://example.es,false,module-11
session-37,TS-EFG-786,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,example@gmail.com,https://example.es,false,module-13
session-38,TS-RST-129,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-11
session-39,TS-RST-124,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.es,false,module-11
session-40,TS-HIJ-012,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://examp?le.es,false,module-14
session-45,TS-HIX-012,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.es/training/user?id=1234,false,module-14
session-46,TS-HSJ-012,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.es/training/user?,false,module-14
session-41,TS-NOP-345,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,,false,module-15
session-42,TS-QRS-678,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcd,false,module-16
session-43,TS-TUV-971,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz,false,module-17
session-44,TS-TUV-901,2020/04/04 14:35,2020/04/14 14:35,This is a test text,This is a test text,test@gmail.com,https://example.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyza,false,module-17
